id,topic,difficulty,question,optionA,optionB,optionC,optionD,correctLetter,correctAnswer,explanation,source,tags
licenses-001,licenses,easy,What is the minimum age to apply for an instruction permit if you are enrolling in a driver training course?,15 years old,14 years old,15½ years old,16 years old,A,15 years old,"If you are enrolling in a driver training course, you can apply for your instruction permit as early as 15 years old.","WA Driver Guide §1.8, p. 25",permit|age
licenses-002,licenses,medium,"If you are NOT enrolling in a driver training course, at what age can you take the knowledge exam?",15 years old,15½ years old,16 years old,18 years old,B,15½ years old,"If you are not enrolling in a driver training course, you can take the knowledge exam after you turn 15½.","WA Driver Guide §1.8, p. 25",permit|age|knowledge-exam
licenses-003,licenses,easy,How long is a Washington instruction permit valid?,1 year,6 months,2 years,4 years,A,1 year,Your instruction permit is valid for 1 year and can be renewed for a fee.,"WA Driver Guide §1.8, p. 25",permit|validity
licenses-004,licenses,medium,How long is your knowledge exam score valid after you pass?,6 months,1 year,2 years,5 years,C,2 years,"Your knowledge exam score is valid for 2 years. If you wait too long to take your skills exam, you may have to take the knowledge exam again.","WA Driver Guide §1.8, p. 25",knowledge-exam|validity
licenses-005,licenses,easy,How long must you hold your instruction permit before getting your first driver license (ages 16–17)?,3 months,9 months,12 months,6 months,D,6 months,"To get your first driver license at ages 16–17, you must have your instruction permit for at least 6 months.","WA Driver Guide §1.8, p. 26",permit|graduated-license
licenses-006,licenses,easy,What is the minimum age to get your first driver license in Washington?,16 years old,15½ years old,15 years old,17 years old,A,16 years old,You must be at least 16 years old and a Washington resident to get your first driver license.,"WA Driver Guide §1.8, p. 26",license|age
licenses-007,licenses,medium,How many hours of supervised day driving are required before getting your first license (ages 16–17)?,20 hours,30 hours,50 hours,40 hours,D,40 hours,You must complete at least 40 hours of day driving and 10 hours of night driving with a licensed driver who has 3 or more years of experience.,"WA Driver Guide §1.8, p. 26",practice-hours|graduated-license
licenses-008,licenses,medium,How many hours of supervised night driving are required before getting your first license (ages 16–17)?,10 hours,5 hours,15 hours,20 hours,A,10 hours,You must complete at least 10 hours of night driving with a licensed driver who has 3 or more years of experience.,"WA Driver Guide §1.8, p. 26",practice-hours|graduated-license
licenses-009,licenses,medium,Your supervising driver must have at least how many years of driving experience (for applicants ages 16–17)?,1 year,2 years,5 years,3 years,D,3 years,Practice driving must be done with a licensed driver who has 3 or more years of experience.,"WA Driver Guide §1.8, p. 26",practice-hours|supervising-driver
licenses-010,licenses,medium,"During the first 6 months of an intermediate driver license, who may ride as passengers?",No more than 3 passengers under age 20,No passengers at all,Only one passenger of any age,No passengers under age 20 except immediate family members,D,No passengers under age 20 except immediate family members,"During the first 6 months of an intermediate license, no passengers under age 20 are allowed except immediate family members.","WA Driver Guide §1.8, p. 28",intermediate-license|passengers
licenses-011,licenses,medium,"After the first 6 months of an intermediate driver license, how many passengers under age 20 are allowed (besides immediate family)?",3 passengers,1 passenger,2 passengers,No limit,A,3 passengers,"From 6 months to age 18 (or one year, whichever comes first), no more than 3 passengers under age 20 are allowed except immediate family members.","WA Driver Guide §1.8, p. 28",intermediate-license|passengers
licenses-012,licenses,medium,"During the first 6 months of an intermediate license, what are the nighttime driving restrictions?",No driving between midnight and 6 a.m.,No driving between 10 p.m. and 5 a.m.,"No driving between 1 a.m. and 5 a.m. unless accompanied by a parent, guardian, or licensed driver at least age 25",No driving after sunset,C,"No driving between 1 a.m. and 5 a.m. unless accompanied by a parent, guardian, or licensed driver at least age 25","Intermediate license holders cannot drive between 1 a.m. and 5 a.m. unless accompanied by a parent, guardian, or licensed driver at least age 25.","WA Driver Guide §1.8, p. 28",intermediate-license|curfew
licenses-013,licenses,medium,When are the nighttime restrictions on an intermediate driver license lifted?,After 6 months regardless of driving record,When you turn 18,After one year of safe driving,After completing an additional driver education course,C,After one year of safe driving,Nighttime restrictions expire after one year of safe driving — meaning no crashes or traffic offenses.,"WA Driver Guide §1.8, p. 28",intermediate-license|curfew
